githubFile,instrument,calRepo_check,HITLstatus,HITLnotes,fileParse,serialNumber,duplicateCoeff,vendorMatch
ATOSU-58320-00020__20130629.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00006__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00015__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00009__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00013__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00018__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00022__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00007__20231129.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00009__20231126.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00018__20140112.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00022__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00002__20140508.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00013__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20180910.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00009__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00018__20201120.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00012__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00005__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00020__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00016__20150318.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00021__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00004__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00022__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00007__20130629.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00013__20161027.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00008__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00016__20230626.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00013__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00020__20231129.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00003__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00021__20231126.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00010__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00001__20121219.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00022__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00015__20231129.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20170302.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00004__20211026.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00004__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00010__20170301.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00013__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00018__20221118.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00007__20191009.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00014__20161027.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATAPL-58320-00003__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00022__20161027.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58320-00008__20171023.csv,DOSTAD,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-70110-00007__20131205.csv,FLNTUA,MATCH,Clear,uses 2015 volume scatter calibration,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-70110-00001__20130422.csv,FLNTUA,MATCH,Clear,uses 2014 scatter dark counts,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-70110-00002__20131205.csv,FLNTUA,MATCH,Clear,uses 2015 volume scatter calibration,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-70110-00003__20140129.csv,FLNTUA,MATCH,Clear,uses 2015 volume scatter calibration,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66645-00005__20131218.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00003__20221026.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00002__20140128.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00002__20191002.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00004__20221026.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00006__20180731.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00001__20110913.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00006__20150428.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00007__20170721.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66645-00008__20150619.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00002__20160111.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00001__20231103.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00005__20231103.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00007__20211025.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66645-00008__20171206.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00002__20231103.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00004__20150424.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00004__20170720.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00007__20231103.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00007__20180829.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00001__20211022.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00006__20170720.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00007__20150428.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00003__20160111.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00005__20211022.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66645-00008__20160111.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00006__20211025.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00002__20171206.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00004__20180829.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00003__20171130.csv,PARADA,MATCH,Clear,Vendor reports this calibration supersedes a subsequent (20171206) erroneous calibration,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00004__20140512.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66645-00005__20160111.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00003__20191002.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-78452-00006__20221026.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-66645-00008__20191002.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATAPL-66645-00003__20140128.csv,PARADA,MATCH,Clear,nan,SUCCESS_TYPE1,MATCH_SENSORBULK,NONE,['COMPARED']
ATOSU-58336-00005__20201006.csv,PCO2WA,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58336-00007__20170117.csv,PCO2WA,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
ATOSU-58336-00008__20231204.csv,PCO2WA,MATCH,Clear,nan,SUCCESS_TYPE2,MATCH_SENSORBULK,NONE,NOTCOMPARED
