referenceDesignator,Cruise,instrumentType,deployDate,assetID,serialNumber
RS01SBPS-SF01A-4F-PCO2WA101,TN407,PCO2W-A,2022-09-15T15:32:00,ATAPL-58336-00004,C0091
RS01SLBS-MJ01A-05-HYDLFA101,TN299,HYDLF-A,2013-08-08T06:08:55,ATAPL-58693-00005,299470
RS01SLBS-MJ01A-05-OBSBBA102,TN299,OBSBB-A,2013-08-08T06:08:55,ATAPL-58328-00005,T1074, T5CP3-ALICE
RS01SLBS-MJ01A-12-VEL3DB101,SKQ201610S,VEL3D-B,2016-07-17T07:30:00,ATAPL-67979-00007,10350
RS01SLBS-MJ01A-06-PRESTA101,RR1809,PREST-A,2018-06-26T10:00:00,ATAPL-67639-00005,5471540-0046
RS01SLBS-LJ01A-09-HYDBBA102,TN382,HYDBB-A,2020-08-04T16:00:00,ATAPL-58324-00005,1273
RS01SLBS-LJ01A-10-ADCPTE101,TN382,ADCPT-E,2020-08-04T16:00:00,ATAPL-68073-00002,18813
RS01SLBS-LJ01A-05-HPIESA101,TN393,HPIES-A,2021-08-24T22:56:07,ATAPL-58323-00003,3, 008, 177
RS01SLBS-LJ01A-11-OPTAAC103,TN407,OPTAA-C,2022-08-09T17:37:00,ATAPL-69943-00008,248
RS01SLBS-LJ01A-12-CTDPFB101,TN407,CTDPF-B,2022-08-09T17:37:00,ATAPL-67627-00002,16P71179-7234
RS01SLBS-LJ01A-12-DOSTAD101,TN407,DOSTA-D,2022-08-09T17:37:00,ATAPL-58320-00014,475
RS01SUM1-LJ01B-05-HYDLFA104,TN313,HYDLF-A,2014-09-07T11:25:04,ATAPL-58693-00004,299465
RS01SUM1-LJ01B-05-OBSBBA101,TN313,OBSBB-A,2014-09-07T11:25:04,ATAPL-58328-00004,T1077, T5CP3-SARAH
RS01SUM1-LJ01B-07-OBSSPA102,TN313,OBSSP-A,2014-09-01T15:17:00,ATAPL-58331-00004,T6J70
RS01SUM1-LJ01B-08-OBSSPA101,TN313,OBSSP-A,2014-09-01T12:03:00,ATAPL-58331-00003,T6J69
RS01SUM1-LJ01B-09-PRESTB102,RR1714,PREST-B,2017-08-11T23:00:00,ATAPL-69923-00002,5471540-0047
