verificationStatus,referenceDesignator,deployYear,deploymentSheetAssetID,rawFileVerification,imageVerification,calFileVerification,calibrationRequired,HITLstatus,HITLnotes,,
RAW_SN_POSSIBLE,CE04OSPS-SF01B-3C-PARADA102,2025,ATAPL-78452-00006,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSPS-SF01B-3B-OPTAAD105,2025,ATAPL-58332-00002,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSPS-SF01B-3A-FLORTD104,2025,ATOSU-58322-00013,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-2B-PHSENA108,2025,ATOSU-58337-00011,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-SF01B-2A-DOFSTA107,2025,ATOSU-58694-00004,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSPS-SF01B-2A-CTDPFA107,2025,ATOSU-66662-00007,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-4D-PCO2WA105,2025,ATAPL-58336-00009,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-4B-PHSENA106,2025,ATAPL-58337-00010,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSPS-PC01B-4A-DOSTAD109,2025,ATOSU-58320-00017,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSPS-PC01B-4A-CTDPFA109,2025,ATOSU-66662-00014,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSBP-LJ01C-10-PHSEND107,2025,ATOSU-70571-00003,NAN,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSBP-LJ01C-09-PCO2WB104,2025,ATOSU-70570-00003,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSBP-LJ01C-08-OPTAAC104,2025,ATAPL-69943-00012,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE04OSBP-LJ01C-06-DOSTAD108,2025,ATOSU-58320-00022,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE04OSBP-LJ01C-06-CTDBPO108,2025,ATOSU-69828-00003,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE02SHBP-LJ01D-09-PCO2WB103,2025,ATOSU-70570-00004,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE02SHBP-LJ01D-08-OPTAAD106,2025,ATAPL-69943-00006,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,CE02SHBP-LJ01D-06-DOSTAD106,2025,ATOSU-58320-00019,NAN,NAN,VALID_FILE,TRUE,NA,,,
RAW_SN_POSSIBLE,CE02SHBP-LJ01D-06-CTDBPN106,2025,ATOSU-69827-00002,NO_FILE,NAN,VALID_FILE,TRUE,NA,,,
NOT_VERIFIED,RS03AXPS-SF03A-2D-PHSENA301,2025,ATAPL-58337-00009,NAN,NAN,VALID_FILE_CAL_OLDER_THAN_15MONTHS,TRUE,NA,,,
